1354	6531	
8877	7595	
9287	3993	
7689	6791	
8749	2006	
5514	10912	
5041	9561	
2233	1058	
624	5837	
9834	7088	
8770	10771	
9942	7227	
1085	1549	
2808	4843	
9269	10486	
6917	5208	
1086	7445	
8797	482	
10790	5272	
7481	6085	
7817	1636	
7016	6505	
5601	4283	
6978	3613	
9266	2927	
2536	6283	
8592	274	
165	10775	
7078	1296	
477	6145	
9652	3876	
2425	3562	
6428	3679	
2068	1347	
5265	10856	
4742	464	
1772	773	
6050	1780	
7148	3031	
1781	7182	
4641	6188	
5174	9353	
8646	965	
4828	8322	
10136	3240	
6761	3018	
8175	5672	
4865	2851	
361	8488	
10246	1960	
1069	1431	
6780	893	
9914	5300	
772	7245	
8285	6979	
2695	8690	
5097	2008	
2873	5966	
7310	10816	
5247	10361	
3640	3912	
4990	10084	
1579	6765	
8682	1849	
1464	2625	
4655	822	
9399	831	
1320	9470	
2793	726	
3753	3103	
7160	9306	
6739	10619	
1501	3048	
8356	6510	
7262	10527	
5617	6510	
2858	9140	
8265	5249	
506	126	
1366	8648	
8846	5913	
10379	10136	
8105	6358	
6901	6065	
7523	567	
6807	8248	
6217	6807	
7798	935	
3826	1160	
349	4373	
5024	190	
3238	6120	
5513	10233	
7102	10269	
9234	2897	
1932	1922	
919	5914	
2942	10444	
745	3838	
6687	3690	
8940	2249	
10977	7418	
6572	4344	
10243	1017	
6676	59	
2239	6326	
3810	6138	
6595	8688	
5266	4595	
9161	3742	
7822	3241	
9389	3589	
9535	9816	
9939	4972	
8770	5661	
1731	2427	
4394	10491	
6506	4130	
8350	3896	
6254	2086	
3678	798	
6773	118	
1975	1037	
971	10588	
8225	4669	
3974	6350	
826	6650	
7007	7156	
3617	10784	
3080	6701	
3360	4614	
6588	7402	
2903	2023	
9327	7180	
1401	5347	
1996	4993	
7157	8876	
5669	7465	
1580	3860	
5162	1311	
257	964	
4881	10378	
4098	6183	
686	6468	
5338	7566	
3751	1722	
5344	6452	
983	9706	
8255	4905	
4357	6139	
5987	9932	
3472	1150	
2037	8266	
1121	6658	
1283	10635	
5021	3901	
7687	4515	
4966	9182	
8482	7470	
3869	4327	
845	5405	
8885	5681	
3756	8925	
6047	2311	
6936	1302	
6534	2261	
135	7121	
8070	7289	
4785	1075	
10710	279	
6162	4550	
5559	6674	
8199	6559	
720	9982	
5023	5866	
4760	9923	
7295	4137	
10111	8508	
10250	6948	
1976	10830	
7580	2266	
9095	4852	
3017	5045	
10787	4487	
10998	6308	
1561	1298	
6915	4178	
2365	5123	
364	7403	
9133	7558	
5123	1079	
1076	5892	
2028	3015	
1383	10576	
7621	2277	
9487	2834	
1967	4096	
7108	6749	
2597	9772	
7491	131	
5616	80	
5652	3920	
6644	8825	
9450	7403	
2731	972	
2375	4913	
5092	4841	
